idx,transcript,annotated,donated
396,"Persuader: good morning! I hope you had a nice weekend.
	Persuadee: Good morning, mine was pretty great, how was yours?
Persuader: mine was hot! i am in florida.
	Persuadee: Lucky, mine was stormy! Do you know what exactly we are supposed to be discussing in this chat? I'm a little lost.
Persuader: yes i do! have you ever heard about save the children charity?
	Persuadee: No I have not, but I'm very interested, tell me more plase!
Persuader: it is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries
	Persuadee: Ah alright, so in countries where it isn't as safe for children, this charity helps to defend and support them? What do they do to help?
Persuader: They are essential to help ensuring children's rights to health, education, safety, etc. They are a great organization. would you considering donating to them? 
	Persuadee: Yes I would. I'm a mother myself, so children all over the world are very important to me. I'd like to donate my whole earnings from this HIT, which I suppose is $2 if I'm reading this correctly.
Persuader: so very generous of you! I will do the same. How old are your kids?
	Persuadee: I have a 6 year old daughter and a 2 year old daughter. My 6 year old just started 1st grade and she absolutely loves school... so being reminded that there's kids out there less fortunate just strikes my heart. I sure hope someday we can accomplish a safe well-being for all the children and innocent people in this world.
Persuader: i agree. That's nice to have daughters. hopefully they get along and look out for each other.
	Persuadee: Oh they do! I'm so lucky to have 2 of them lol, because they are best friends now. Do you have kids?
Persuader: i have two kids. 6 year old girl and 9 year old boy. they fight now but i hope one day they resolve that get along!
	Persuadee: Haha cute. I think that's just how it is with brothers and sisters. I think your daughter will be lucky one day though, having an older brother to protect her.
Persuader: that's what i am thinking. we might have another. it makes me sad that there isn't a little one anymore.
	Persuadee: I definitely know the feeling. I mean, my 2 year old is currently in that ""I\'m independent and not a baby anymore"" stage lol when I swear just a week ago she was a snuggly baby. It break my heart when they grow up. 
Persuader: i hear you. enjoy them while they are little!
	Persuadee: I will (: and good luck if you do end up having another! Family is beautiful. ",False,2.0
397,"Persuader: Hi!  I hope you are having a nice Holiday
	Persuadee: Yes and I hope yours is good also
Persuader: I have a grown daughter and two precious grandchildren.  And you?
	Persuadee: WE just have a cat named Sissy. She's our child. LOL
Persuader: WE have a dog named Bailey.  So including my husband I really have three children
	Persuadee: LOL, yeah they are like children. Bot pets and husbands.
Persuader: Have you heard of the program Save the  Children?
	Persuadee: Yes, I saw an ad on TV recently about it.
Persuader: It is a highly rated (88% out of 100%) program that provides health, education and emotional support for children around the world
	Persuadee: That's a lofty goal.
Persuader: I agree, sometimes we have to break it down. .  You know, I am particularly interested in the children in Puerto Rico after Hurricane Maria.  They recently increased the death toll to over 3000.  But there is no breakdown for children
	Persuadee: Yes, they suffered greatly. there. But I'm more interested in what can be done for children in the US especially in the inner cities and Appalachia. 
Persuader: Save the Children wrote and article called :The Urban Disadvantage.  It details what the call ""The Survival of the Richest.""  Save the Children has hundreds of low income clinics in cities are over American, and hundreds of outside educational programs to help urban children keep up.
	Persuadee: Oh that's really good to know. I thought they dealt mainly with ioverseas projects.
Persuader: In the US, 1 out of 5 children are living in poverty.  Can you believe that, here in the US?  Save the Children was founded in 1932, and has provided services ever since.
	Persuadee: (Forgive my spelling mistakes! I need to proof before hitting send) I do believe that about the US. I used to work with inner city kids and know the horrors they live with here in the US.
Persuader: The requester, Richard Kim has a 4/5 point rating.  He says the research team will collect all donations and send it to Save the Children. ""How much do you like to donate to the charity now? Your donation will be directly deducted from your task payment. You can choose any amount from $0 to all your payment ($2) 
	Persuadee: You told me stuff I did not know about Save the Children. Because of that I'll donate half ($1.00). Good job!
Persuader: Thank you.  I appreciate your generosity.
	Persuadee: Hey, I'm also the one that the cub and girl scouts mark my house cause I'm an easy touch esp where kids are concerned.",False,1.0
398,"Persuader: i how r u
	Persuadee: hello I am doing great. How are you?
Persuader: yes i am fine
	Persuadee: Awesome. What are you doing today?
Persuader: i am chatting with u 
	Persuadee: Where are you from?
Persuader: i am from usa u
	Persuadee: Same here. Where from in the USA?
Persuader: VANCOUVER. you know about save the children charity
	Persuadee: I have always wanted to visit there. Yes I have actually.
Persuader: tell something about children charity
	Persuadee: Well I know that those charities benefit many children around the world. Do you donate to them?
Persuader: yes i donate. tell about ur family
	Persuadee: I have a wonderful family. I love them. How much do you donate?
Persuader: yes i will donate $750
	Persuadee: Wow that is amazing. Would you donate that today?
Persuader: No. how much u donate
	Persuadee: I would like to raise $50 for Save the Children. 
Persuader: very great. tell about u
	Persuadee: Well I think it is great that you will donate $750",False,0.0
399,"Persuader: Hi, what do you think about the state of the world in general these days?
	Persuadee: Thats a pretty loaded question, I think at the moment despite what the news shows us we are in the most documented peaceful time during at least my life time
Persuader: Interesting answer, I think it's a mixture the world over
	Persuadee: Can you clarify your answer a bit, what do you mean that its a mixture?
Persuader: Of course many enjoy peace and prosperity, while others have to deal with severe problems associated with war, poverty and crime. etc.
	Persuadee: While I can see what you are saying but currently all over the world we are experiencing a pretty peaceful time, even the wars or skirmishs that are occuring are slight 
Persuader: If you look at the averages, I am sure you are right, But there are places where innocent civilians have to deal with very trying circumstances.
	Persuadee: The point is that currently its happening now much less. I'm more concerned with the global weather as a whole and some places running dangerously low on water than war
Persuader: Yes, that is a real problem in places too
	Persuadee: What are your thoughts on global warming?
Persuader: I think it's a tough problem
	Persuadee: I read that the great coral reef is about to go through a phase of bleaching and that its possible we could lose 1/3rd of it in the next 10 years roughly, which at least from this article could mean that fish could drastically die off if that were to happen
Persuader: Wow that would be terrible. 
	Persuadee: Unfortunately I am not a marine biologist so all I have to go off is what they said, but I do believe we need to start trying to take better care of the planet as a whole. What do you think about the future of technology possibly affecting the slow down of the global climate change?
Persuader: I think it's very important to try and use technology to deal with climate problems. I think technology, properly used has the ability to help with lots of problems.
	Persuadee: I agree completely I cant wait to see what stuff we come up with in the next decade
Persuader: I think the possibilities are immense. While I am chatting with you, I'd like to invite you to consider donating some of your payment for this HIT to Save the Children, an organization that tries to help children in difficult circumstances around the world. YOu can choose how much you want to deduct, from 0 up to $2
	Persuadee: I'm choosing not to donate so 0
Persuader: Ok, thanks for considering it, anyway. All the best to you!
	Persuadee: you too! ",False,0.0
400,"Persuader: good evening
	Persuadee: Hi. How are you?
Persuader: fine, have you heard about the Save the Children charity
	Persuadee: It sounds familiar, but I don't know much about it.
Persuader: as the name suggests they help children all over the world
	Persuadee: How does it help them?
Persuader: mainly with food, shelter, and medical care
	Persuadee: It sounds like something I could get behind.
Persuader: they do depend on donations from people like us
	Persuadee: I'm a big believer in donating when i can, but I don't have much right now.\\
Persuader: you can donate part of you payment from this task, if you'd like
	Persuadee: I'd like to donate part of it for sure.
Persuader: that would be great, you can donate anything up to $2.
	Persuadee: How much are you going to donate?
Persuader: $1 was my plan
	Persuadee: That's very generous. Where are you from?
Persuader: from Adel, Georgia
	Persuadee: I'm from Midvale, Utah. I have family in Georgia.
Persuader: That's great, can you donate $1 as well?
	Persuadee: I think I can donate 50 cents.
Persuader: ok, that's fine
	Persuadee: Best to you.",False,0.5
401,"Persuader: do you like children?
	Persuadee: I like children individually, groups of children not so much.
Persuader: are you worried about poor children?
	Persuadee: Yes, I think taking care of children is important
Persuader: are you worried about children not getting enough to eat?
	Persuadee: Of course, everyone has the right to food.
Persuader: how about education, are you worried about children growing up ignorant?
	Persuadee: Yes, education is extremely important
Persuader: do you think children should have a roof over their heads?
	Persuadee: Yes, I think any decent person would
Persuader: how much does it take to feed a child without a family in the third world per day?
	Persuadee: I really have no idea. Maybe 5 dollars?
Persuader: can you believe it is less than that?
	Persuadee: Ya i guess I could believe that
Persuader: are you interested in helping a poor childe with a contribution?
	Persuadee: Yes I am
Persuader: have you heard about save the children fund?
	Persuadee: No, tell me about it
Persuader: it is a program to help poor children around the world with basic needs. do you want to help them?
	Persuadee: Yes I do
Persuader: look them up in the web and make a dontation please! ..thanks in advance!
	Persuadee: Ok, I will",False,1.0
402,"Persuader: Good Morning, Have you heard at the charity Save the CHildren ?
	Persuadee: Yes I have. It is a wonderful charity. 
Persuader: Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.
	Persuadee: That is amazing. Tell me more. 
Persuader: When you figure the time we spend on buying unnecessary things like candy, car washes, or dining out, we can support these children in developing countries !
	Persuadee: I would like to help. What would you consider an acceptable contribution?
Persuader: I would like to think of supporting a child by $1 a day or $30 a month. $1 a day can be used in meaningful ways to help these children
	Persuadee: I think I can definitely afford $1 a day. 
Persuader: Your $1 a day will help their essential needs like health, education safety and clothing. Just the essentials can make a child lead a more fulfilled and loving life
	Persuadee: Where do I sign up?
Persuader: Being able to support a child is a moral thing to do. I believe u would make a tangible impact on these children. You can sign up at :  URL   However, before you do, I'd like to tell you a bit more
	Persuadee: Yes, I would like to hear more. I love helping where I can. Those less fortunate deserve better. 
Persuader: These children die from hunger daily. Your donation is making an impact on the children and their families
	Persuadee: Do you donate to this cause as well? If so, how much do you give?
Persuader: I do  ! I give $30 a month Save the children is international and helps children in all nations 
	Persuadee: I think you are a wonderful person. Thank you so much for telling me about this. 
Persuader: Your donation is part of the solution and you realize how it is a morally responsibility obligation . I admire that !
	Persuadee: I will give a dollar a day, I'm sure I won't even notice the money missing and I'll know that I am helping out. 
Persuader: Thank you for the compliment and your generous donation !
	Persuadee: Thank you for the lovely chat and educational information. You've been great. ",False,1.0
403,"Persuader: Howdy
	Persuadee: Hey how are you today?
Persuader: I'm good.  You?
	Persuadee: Good, What do you think is the greatest social issue we are facing right now?
Persuader: Violence.  Same as at every point in history.  You ever do one of these chat tasks before?
	Persuadee: Yes I have- I feel its violence too
Persuader: It wants me to donate to ""Save the Children"".  Any idea if that is a real charity?
	Persuadee: I believe it is- I've seen commericals for it on TV before....have you?
Persuader: No, but then I don't watch much TV, certainly never commercials.  Is it asking you to donate too?
	Persuadee: Yes- I've donated to a similar charity before but it was based on supporting kids education
Persuader: I'm not sure how much my $0.30 reward for completing the HIT would actually help.
	Persuadee: It would feed a child for almost 3 days.
Persuader: Sounds like you are very knowledgeable about it.  It doesn't say that in the info they gave me.  Are you going to donate?
	Persuadee: I'm going to donate half .10 - So i Can feed a child for a day 
Persuader: It is only paying you $0.20 complete the HIT?
	Persuadee: Its paying me .30
Persuader: So how is .10 half?
	Persuadee: I'm not doing half I'm doing a third.
Persuader: Ok.  I'll probably just donate the whole 0.30, if you are sure it is real & will help kids.
	Persuadee: Yes I am, ",False,0.0
404,"Persuader: Hi! How are you doing today?
	Persuadee: I'm doing well. How about you?
Persuader: I am great, just enjoying some coffee on my deck. How is the weather for you?
	Persuadee: It's cloudy a lot, but otherwise fine. I was just looking through the morning mail. A request by a children's charity for a donation.
Persuader: Which charity was the flyer from? The charity I always donate to is called Save The Children. They do wonders for under privileged kids.
	Persuadee: I think it was from Save The Children. So you think they do some actual good?
Persuader: They do for sure. They feed so Many starving kids and are quick to respond to any crisis. 
	Persuadee: That's encouraging. Do you usually donate? They're asking for $50, I was thinking more like $20.
Persuader: I do donate regularly to them. In fact if you are wanting to donate you can donate a portion of your payment from this directly to Save The Children. Is that something you would be willing to do?
	Persuadee: That's a thought. I guess I could do that. Maybe 1/2 of the payment. 
Persuader: That is wonderful! So you are willing to donate half of your payment? I will also donate mine.
	Persuadee: Okay. Let's do that then.
Persuader: Great! These donations will be able to help so many children! 
	Persuadee: That's the goal, for sure.
Persuader: It absolutely is! I just want to thank you for helping out this great charity.
	Persuadee: Glad to help. I have a needy child of my own, and know how desperate that can make you feel.
Persuader: Absolutely! I hope you enjoy your day, and if you would like to learn more about this charity, you can visit their website. 
	Persuadee: I may do that. Enjoy your day also.
Persuader: Thank you! 
	Persuadee: You are welcome.",False,1.0
405,"Persuader: Do you ever donate to charity?
	Persuadee: Yes, I support a few causes that I personally believe in very much.
Persuader: Have you ever heard of Save the Children?
	Persuadee: Yes, but I don't know a lot about them. What is their mission?
Persuader: Their mission is to promote children's rights, and provide relief and support to children in developing countries.
	Persuadee: That sounds interesting. What countries do they work in?
Persuader: They work in many countries across the world.  For example, millions of children in Syria grow up facing the daily threat of violence.  A donation could help these children greatly.
	Persuadee: It sounds like it. Do you donate to this charity?
Persuader: I do.  It is a great charity that does a lot of great work around the world.
	Persuadee: Some charities are run better than others. Do you know what Save the Children's reputation is for actually using the money it collects to help children versus for fundraising and administrative salaries?
Persuader: The majority of all donations collected goes directly toward the mission of helping children in developing counties.
	Persuadee: Ok. How long has this group been in operation?
Persuader: They are a well established charity that has been working around the world for several years.
	Persuadee: What do you like most about this group?
Persuader: I like knowing that my donation is helping children that otherwise would suffer.
	Persuadee: That seems worthwhile. Helping children is important.
Persuader: Would you like to make a donation today?
	Persuadee: Are you planning to donate today?
Persuader: I am.  The research team will collect all donations and send it to Save the Children.
	Persuadee: Good to know.",False,0.0
