idx,transcript,annotated,donated
453,"Persuader: Hi, there! Are you knowledgeable of what our chat is about? I am not, so far.
	Persuadee: No, no subject has been shown
Persuader: I am reading my role right now. This is fun.
	Persuadee: What is your role and why do you think it's fun?
Persuader: It's my first time doing this type of assignment here.
	Persuadee: I've never done anything like this either.
Persuader: Tell me, do you usually get involved with organizations that you trust and try to make a difference in the world by cooperating with the service these organizations offer?
	Persuadee: Yes, I do a pretty good amount of volunteer work. I mostly offer my time and services as opposed to money.
Persuader: Oh, just like me!
	Persuadee: What types of organizations are you involved in?
Persuader: Mostly the ones that help children. I think offering time instead of money is the best thing to do. Giving money sounds like the easiest way to go and it doesn't require too much dedication or involvement. But when the organization is located far from where I live, I donate money. How about you? 
	Persuadee: I don't like to donate money unless I know exactly where the money is going. I don't want to pay for administrative bonuses and vacations or things like that. 
Persuader: Have you heard of Save the Children? They are a trustful organization, they publish all the financial information on their website for all to see, and they make sure that the donations are used in the most cost-effective ways possible. Would you be willing to donate to this organization your compensation on this task?
	Persuadee: That is a charitable organization I have heard a lot about. The compensation for this is only $2.00 and, I guess, I can afford to donate that. I can only hope that even this small amount of money will DIRECTLY help children and no line some the pocket of some unscrupulous person.
Persuader: I took a look in their annual report and I like what I see. I am convinced they make sure the money goes directly to the kids needs. And they have been helping 157 million children in 120 countries --not a small task. And I am sure they can appreciate even $2.00, for any penny can make a difference. I am willing to donate too. So, do you agree to donate? 
	Persuadee: Yes, I will give my $2.00 payment to Save The Children and take the gamble that it helps someone.
Persuader: That's the first time I hear from them, but just by looking their website I can tell they are trustworthy. Have you seen the website?  URL s/about-us/resource-library/annual-report 
	Persuadee: No, I wouldn't do that type of research on line because, again, it's hard to know what to trust. It could be a fake website or it could be a real website with fax statistics. That is why I usually prefer to give money directly to the cause of my choice.
Persuader: I am happy to see that they help children all over the world, being 12% of the donations directed to children in the US.
	Persuadee: I hope all that information is true.
Persuader: It was a pleasure talking to you. Have a good day.",False,0.0
454,"Persuader: Hi.  Have you heard of Save the Children
	Persuadee: no i have not tell me about and what makes tyhem special?
Persuader: they help children all over the world, including the US.  They help them with education, medical treatment, food
	Persuadee: where does the money go for the children directly or to their schools?
Persuader: neither.  it's a charity that provides resources for the children.  would you like to donate $1 today
	Persuadee: well i need more information like how long have they been helping children and  which parts of the US do they help?
Persuader: I'm really not sure how long they have been helping.  they help children over all parts of the US
	Persuadee: how would my dollar be divided if I was to donate? like which amount will go where can I choose?
Persuader: 88% of donations goes towards programs and services.  as an individual donor you can choose a child to sponsor
	Persuadee: that sounds like a good idea could i get to write to the child or talk to them?
Persuader: yes, you would be given a welcome kit which would include a photo and contact info on the child
	Persuadee: what else would be done to help the children? will there be a way to video chat with them?
Persuader: you can't video chat with them but you would receive video updates on how they are doing.  Would you like to donate $1 today
	Persuadee: i would probably liek to donate less than that maybe about 25 cents since I am not familiar with the organization.
Persuader: Great.  ANy amount will help.  THanks
	Persuadee: no problem hope that it can go to a good cause to see it benefit from it at all.
Persuader: So good of you. I hopemore people contribute
	Persuadee: yea me too . since it would help kids but I feel they would need more infomation so they feel it is legit
Persuader: Thanks for your donation
	Persuadee: no problem thanks for explaining to me about it and going in depth a bit to answer questions that I have had.",False,0.0
455,"Persuader: Hi...
	Persuadee: Hello
Persuader: Do you know about children charity?
	Persuadee: I can't say I'm terribly familiar.
Persuader: Sorry, I do not understand what you say
	Persuadee: I am saying that I do not know what children charity is or what it implies
Persuader: Have you donate any charity?
	Persuadee: Yes, specifically to a charity for cancer research
Persuader: Okay, Do not you know about Save the children?
	Persuadee: No I do not
Persuader: The Save the Children Fund, commonly known as Save the Children, that promotes children's rights, provides relief and helps support children in developing countries.
	Persuadee: I see. Thanks for the explanation
Persuader: Do you like to donate the Children charity?
	Persuadee: How much do people usually donate at a time
Persuader: Sorry, I do not know that.
	Persuadee: I would like to donate
Persuader: Oh! That is great. Thank you very much.
	Persuadee: How would the process go?
Persuader: I'm not fully aware of this, but I've donated it
	Persuadee: How do I donate?",False,0.0
456,"Persuader: Hello there.
	Persuadee: Hi! How are you?
Persuader: I'm doing well thanks. Im glad we have a chance to talk. Are things going good for you?
	Persuadee: Yes. Work is a bit stressful. But overall everything's going pretty nicely.
Persuader: Totally understandable. Do you consider yourself a charitable person? I know I'm guilty of not doing all i can sometimes.
	Persuadee: I donate to charity sometimes. But often I don't really bother. Overall I guess I'm fairly charitable.
Persuader: I think its easy to forget about how hard others have it sometimes. I've done a little more lately. I have to say it feels good. I found a great organization that helps children in developing countries.
	Persuadee: Yes, that's very true. Everybody gets so caught up in their own drama that we forget the problems that others are having.
Persuader: Would you have any interest in learning about Save the Children? You are able to make a donation with some or all of your incoming payment for this task. It's amazing how much this has helped.
	Persuadee: I am truly interested in that charity and helping others but I'm not able to donate at this time for personal reasons. Sorry.
Persuader: No judgement is ever passed. Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.  URL  URL Visit for more info.
	Persuadee: Thank you very much. I will look into that for sure. Perhaps in the future I will be able to make a donation.
Persuader: I just want to be sure you do not wish me to ask How much do you like to donate to the charity now? Your donation will be directly deducted from your task payment. You can choose any amount from $0 to all your payment ($2) Please understand I must do my part as well.
	Persuadee: At this point I'm not able to donate anything so $0.
Persuader: I hope great things come for you and your loved ones. Thanks for your consideration.
	Persuadee: Thank you very much. I wish you all the best as well!
Persuader: Goodbye for now.
	Persuadee: Bye. It was nice talking to you! Have a great night!
Persuader: You as well Please feel free to close out of chat whenver convinient 
	Persuadee: Thank you very much again!",False,0.0
457,"Persuader: Have you thought about giving to the Save the Children charity?
	Persuadee: I used to donate to them. Do you like that charity?
Persuader: I think that they are good, they help a lot of children
	Persuadee: What do they do exactly?
Persuader: They work for the rights of children in developing countries in safety, health, education
	Persuadee: That is super important work, obviously. Do you know if they are a trustworthy organization?
Persuader: Yes they are very trustworthy, and they have been around for a long time
	Persuadee: I can't stand charities where the top level execs make a ton of money
Persuader: I agree, that doesn't happen with this charity, most of the money goes to helping the children
	Persuadee: that's good to hear. they sound like a good charity to donate to
Persuader: I would highly recommend it
	Persuadee: what other organizations would you consider?
Persuader: This is the only one that comes to mind
	Persuadee: I tend to like St Jude's research hospital too
Persuader: they are good too, but this one I prefer
	Persuadee: why is that?
Persuader: St Jude's is one specific area, Save the children goes into more of a variety of issues
	Persuadee: that's a fair point
Persuader: are you still there?
	Persuadee: yes! i said that's a fair point. save the children is a good choice.",False,0.0
458,"Persuader: HI GOOD MORNING 
	Persuadee: Hello and good morning to you too
Persuader: SO MANY CHILDREN ARE DYING.
	Persuadee: Yes, I agree. I honestly think we should donate to the children's charity. Even if it's a slim chance it's important to help them.
Persuader: YES, I DONATE 20 DOLLAR TO THE CHILDREN ITS VERY HELP TO THEM.
	Persuadee: That's very kind of you and think that is a very fail amount
Persuader: WHY, HOW MUCH DID YOU DONATE TO THEM.
	Persuadee: I donated half of what you did. Sadly I can't donate to much but I try to donate when I can.
Persuader: SO , THAT NOT A PROBLEM YOU GIVE A 1 CENT ALSO ITS VERY USEFUL TO THEM.
	Persuadee: That's kind of you to say. I'm glad you're so optimistic ;) 
Persuader: YOU KNOW THE CHARITY NAME?
	Persuadee: I only know it's a children's charity. Though I donate a it to make a wish.
Persuader: OK ANT CHARITY, OUR HELP GO TO THE CHILD, ITS VERY HAPPY TO THAT.
	Persuadee: Yes, I'm happy to know that I can help them and hope others will as well in the future.
Persuader: YES, BUT  SAVE THE CHILDREN CHARITY IS VERY GOOD CHARITY TO , COMPARE TO THE CHARITY
	Persuadee: Yes that is a good charity. I wouldn't mind donating to save the children :)
Persuader: OH, OKAY KEEP DONATING TO THE CHILDREN. 
	Persuadee: I will, I hope you will as well :)
Persuader: YES, WE SAVE THE LITTLE CHILDREN. I PROUD OF YOU.
	Persuadee: And I of you know that what you re doing is very commendable. The children are our future we must do what we can to protect them",False,0.0
459,"Persuader:  Hi, my name is Robert.
	Persuadee: Hello, my name is Albert. How are you today?
Persuader: I am fine, have you heard of an organization called "" Save the Children Foundation?
	Persuadee: No, I haven't.  What do they do?
Persuader: Save the Children is an international non-governmental organization that promotes rights, provides relief and helps support children in developing countries
	Persuadee: What counties are they active in? Is there any area that they're involved in more than others?
Persuader: They are active in all countries. There are no overhead charges.
	Persuadee: Impressive. What kind of relief do they try to provide to the children?
Persuader: Your donation will make a tangible impact for the world such as help ensuring children's rights to health, education and safety.
	Persuadee: What does the donation generally go towards within the organization?
Persuader: The donations go toward helping needy kids.
	Persuadee: Sure, I'd be glad to donate.
Persuader: I will like a few more minutes of your time to give a little more information.
	Persuadee: Absolutely, is there anything you'd like to highlight?
Persuader: You can donate to an individual child or a group of children.
	Persuadee: Is there any difference to what the children receive if it's the individual or the group?
Persuader: No, also  Your donation will be directly deducted from your task payment. you can donate from 0.01 to $2.00.
	Persuadee: Okay, I'll donate the full $2.00.
Persuader: Thank you very much for your donation.
	Persuadee: I'm sorry, I never said to who.  I'd like to donate the full $2.00 to the group of children if that's okay.",False,2.0
460,"Persuader: Hello would you like to help and donate to Save the Children.
	Persuadee: yes.i think it is a worthwhile charity
Persuader: It really is I think it is great that they help provide healthcare for people in poor countries
	Persuadee: yes.we have an obligation to help the less fortunate
Persuader: I feel the same especially when it is for children I feel we need to do what we can to help them.
	Persuadee: yes.they are the future as the old saying goes.in helping them  we in some small way try to build a better tomorrow
Persuader: I like the way you think. We are very similar.
	Persuadee: thank you. we do seem to be on the same page
Persuader: I am always willing to help someone if I know it will benefit them
	Persuadee: i always try to be there for others.perhaps someday when i need help,someone will be there for me
Persuader: That is a great attitude to have.
	Persuadee: it is the golden rule or at least my version of it
Persuader: What amount would you be willing to donate
	Persuadee: things are a little tight for me right now bu i could do $15.
Persuader: Any amount helps and it all goes to the kids so that is a great amount
	Persuadee: great.i hope it can make a difference in childrens' lives
Persuader: I think it will help a lot.
	Persuadee: i shouldn't care but how does my donation compare to others? am i giving less or more do you know?
Persuader: I think that has been the average. People have been giving what they can and have been very helpful.
	Persuadee: great. i shouldn't care but human nature compelled me to ask
Persuader: It was a good question. Well your donation will definitely help
	Persuadee: how much are ou giving?
Persuader: the same ",False,0.0
461,"Persuader: Hi how are you doing today
	Persuadee: I'm doing good. How are you?
Persuader: I am doing wonderful, thank you for asking. I have a question, have you ever donated to a charity before?
	Persuadee: Yes. I live in an area that sometimes has flooding and also live in the part of the country that is referred to as ""Tornado Alley"". I\'ve donated to American Red Cross and some local charities.
Persuader: I understand. I live in an area prone to hurricanes. Mother nature has been a little temperamental these past few years. Have you ever heard of a charity called Save the Children? 
	Persuadee: I've never been in a hurricane and would rather not. Agreed it's been rough lately. Yes I've heard of Save the Children. They've seen them on TV before.
Persuader: Yes, hurricanes can be dreadful, tornadoes as well. Save the Children is an amazing charity that I'm collecting donations for today. I personally feel like it's our moral obligation to make sure that all children are well taken care of. Don't you agree?
	Persuadee: I totally agree. They weren't asked to be put in the position in which they live and feel that people should do as much as they can if they are able to help anybody out.
Persuader: You are so right! Sadly many children are subjected to violence or are living on the streets starving and sick. You said you had seen a commercial. What about it appealed to you?
	Persuadee: Just showing the general public the conditions in which some have to live in. There's a lot of people that have no clue of how poor some countries are and the conditions in which people have to live in. 
Persuader: That's one of the amazing things about Save the Children. We are a global charity, offering food, clean water, educational material, and vaccines to children that need it most. Our website offers much education to the public about living conditions and the negative things that affect these innocent children. 
	Persuadee: That's awesome that they are global. What people don't realize about donation is that with some of them like Save the Children just a few pennies can do so much. There's people that don't donate just because they have no idea just how little it takes and where their money goes.
Persuader: Exactly! Most people spend countless amounts of money on wasted product or food when something as small as $1.00 can benefit one of these children. Did you know that in the first two months of this year, 1,000 children were reported killed or injured in Syria. That's so heartbreaking and it angers me. How does it make you feel?
	Persuadee: It upsets me a great deal. I think that it's hideous that these innocent people are being killed over most of the time generally hasnothing to do with them. 
Persuader: I completely agree. Save the Children is also known for providing children who live in hazardous conditions such as war zones with more security and safety. If more people in this world felt like you and I, I believe all children would have a better chance at life, don't you?
	Persuadee: Absolutely! Children are the future of this world and unfortunately are the ones that end up hurt in the long run 
Persuader: I agree wholeheartedly! How much would you like to donate to the charity now? Your donation will be directly deducted from your task payment. You can choose any amount from $0 to all of your payment, $2?
	Persuadee: I would like to donate $0.50 to Save the Children.
Persuader: That is amazing! Thank you so much. That money will go a long way for a child in need. You are a hero!
	Persuadee: Your welcome. I appreciate the opportunity to donate to a good cause.
Persuader: And the cause appreciates people like you! ",False,0.5
462,"Persuader: Hello. Would you like to donate to a children's charity called Save the Children today?
	Persuadee: How much of my donation would go directly to the children and not the foundation?
Persuader: All of it will go to the charity. You can donate $0 to $2.
	Persuadee: Will my donation just help children in my country or will it be sent to other countries?
Persuader: It is used to help children internationally. So it will help children in your country and in other countries.
	Persuadee: What kind of children are supported by your organization?
Persuader: Mostly children in developing countries. 
	Persuadee: Is there any way i could specify that i want my donation to be used to help children in my country?
Persuader: Your donation will help ensure children's rights to health, education, and safety. However, I do not believe you will be able to specify which country your donation will go to.
	Persuadee: If i donate do i get one of those ""story of the child your helping"" stories?
Persuader: Hmm. I am not too sure about that one, but you donation will indeed create a tangible impact for the world
	Persuadee: I wouldn't mind donating $1 to help the children, i really need the money, but they do too.
Persuader: That is great. Thank you for your donation. Every little bit helps. I am sure the children will be grateful to receive anything at all.
	Persuadee: How do i go about sending the donation?
Persuader: The research team will collect all donations and send it to Save the Children
	Persuadee: Sounds good, do you know if i can use this donation as a tax write off?
Persuader: Probably so. But I am not too sure. You definitely want to ask your tax preparer when you file your taxes.
	Persuadee: Alright, i think you have answered all my questions, thank you.
Persuader: Thank you again. Have a nice day.
	Persuadee: You too, goodbye.",False,0.0
