idx,transcript,annotated,donated
0,"Persuader: So I am going to need you to donate to Save The children charity. or else........ 
	Persuadee: Hello! How are you?
Persuader: I'm great! How are you?
	Persuadee: Doing fairly well. I just ate dinner and feel relaxed. 
Persuader: That is good to hear! So,are you familiar with the Save The Children children charity?
	Persuadee: Yes, I have heard of them. That is the one that scammed people out of money after the hurricane, right?
Persuader: Wait wait wait,are you serious? I haven't heard about that.Was this recent?
	Persuadee: I think last year I belive. Wasn't there a major hurricane?
Persuader: That may have been the American Red Cross. I think I heard something about them not using all of the funds given to them to help the people that were hurt during.
	Persuadee: Ok, because I remember Bon Jovi trying to put together a concert to gather money. I thought he was representing saves the children.
Persuader: Oh,I love Bon Jovi. Knowing how great he is I'm pretty sure he helps a ton of charity's. 
	Persuadee: I know, but he has been ""living on a prayer"" for a long while now
Persuader: Haha,I see what you did there. So would you be able to make any sort of donation to the Save the children charity? Of course it will be deducted from your task payment and it can be anywhere from 0.01 to $2.
	Persuadee: So I will loose some of my bonus money?
Persuader: It will be deducted from your bonus,but you hold the power of how much will be taken. Like me I would enjoy my max amount so to show good faith to the researchers completing this task I would just throw 0.01-0.10. 
	Persuadee: Ok so I will choose to donate .10
Persuader: That is great to hear! I know for a fact that the researchers conducting this survey and the Save The Children foundation will be excited to know you gave back. I thank you.
	Persuadee: You are welcome. Glad I could help.
Persuader: If you are curious about what your donation is being used for please feel free to visit the Save The Children website below.  URL 
	Persuadee: Ok, I will be sure to make some hot tea ans peruse the site",False,0.1
1,"Persuader: Hi, how are you?
	Persuadee: Great, how are you this morning?
Persuader: I am good.
	Persuadee: I am involved with a children's charity and we are doing a fun-run this weekend.
Persuader: That's awesome. Are you going to donate?
	Persuadee: Yes, I am donating money and time. And I'm also going to run! The charity benefits kids in foster care.
Persuader: Nice! How much money are you going to donate?
	Persuadee: $100. I'm also getting friends to donate. Even as little as $5 helps a lot!
Persuader: Wow that's great! It is always good to donate and help others.
	Persuadee: Yes. In this case, the cause is awesome. The money is for school supplies and back to school clothes for the kids. We get them each a backpack. They come out for the fun run too, and just have a great time!
Persuader: That's great. It's always good to help others. I am sure they will appreciate it greatly. I always try to help whenever i can as well!
	Persuadee: Would you be interested in contributing to our cause?
Persuader: I am interested yes. I will donate around $100 as well.
	Persuadee: Wow, thank you so much! That is so generous of you!
Persuader: I always try to help when i can. Seeing you donate encouraged me to as well
	Persuadee: Thank you so much. It means a lot to the kids! You can direct your donation to school supplies or clothes. Do you have a preference?
Persuader: I would like to donate to Save the Children. What about you?
	Persuadee: Save the Children is also a great cause. I would also be happy to donate $100 to that cause if you will too. 
Persuader: Sounds great! I will do the same.
	Persuadee: Great! Well, we can exchange details and do our donations. It was great chatting with you, and thanks again for your generosity!",False,100.0
2,"Persuader: Do you know about Save the Children?
	Persuadee: I have not heard of this charity before! Have you?
Persuader: I have.I actually a  monthly donor
	Persuadee: That's great! Would you mind explaining what the charity does?
Persuader: The charity collects donation from people like you and me and help children in need
	Persuadee: Sounds like quite the worthy cause. Are the children in need all across the world? Or just the United States?
Persuader: all over the world.I saw a children died from hunger and it tears my heart apart.I decide to be part of the solution since then
	Persuadee: Wow, that is extremely sad. It is extremely unfortunate that child hunger is so prevalent in this world. 
Persuader: Save the Children organization is a blessing to the world.They have been helping children,finding houses and food.
	Persuadee: It really sounds like a blessing! What is their website? I'd like to learn more information.
Persuader:  URL Specially in countries at war children are helpless.
	Persuadee: Great, thank you! Is there a monetary goal set for the year?
Persuader: NO.It is not.You can donate as much as you want
	Persuadee: That is amazing. 
Persuader: How much money do you spend on candies that can be helping children in need?
	Persuadee: I do not purchase candy too often; however, I could definitely sacrifice a Starbucks Coffee to help children in need.
Persuader: Please do that.Children need your help
	Persuadee: Yes, most definitely. Thanks for making me aware of this charity!
Persuader: How much do you like to donate today?
	Persuadee: I'll look into the website and likely donate $5.",False,0.0
3,"Persuader: Hi there! How are you doing today?
	Persuadee: great and you are you going to donate
Persuader: I am not sure what you are talking about. D you have any more info?
	Persuadee: about the children's charity
Persuader: I have heard about a great charity, and I was going to ask if you are interested. Would you like to donate some earnings to the Save the Children charity, and if so, how much? Also, please include the $ sign to avoid confusion.
	Persuadee: $5.00 i would donate
Persuader: Oh, that is really wonderful. I am so glad. Have you heard about the flooding in Hawaii?
	Persuadee: yes i have
Persuader: Well, then I am sure you would be glad to know that the charity is all ready to reach out and help the children there. Were you aware of that?
	Persuadee: yes i am 
Persuader: Yes, I am as well. This really is a great place to donate to. I am impressed they are so responsive. I am not sure what I would do if I had a child in need. Are there any kids in your family at all?
	Persuadee: yes i have a child
Persuader: Yes, I do as well. I feel really good about helping. How do you feel about helping?
	Persuadee: yes i do
Persuader: Have you ever donated to any other types of charities?
	Persuadee: no i havent
Persuader: I donate money to places, but I have not donated time. Have you ever donated time?
	Persuadee: no i havent
Persuader: So, just to recap, I can count on you for a $5 donation today. Is that right?
	Persuadee: yes you can ",False,0.0
4,"Persuader: hello
	Persuadee: Good morning.
Persuader: how are you doing today
	Persuadee: Not too bad.  You?
Persuader: good would just be better if it wasn't so rainy
	Persuadee: Agreed.  How much did you want to donate?
Persuader: how much do you want to donate to save the children
	Persuadee: I think $2 would be the best way to go.
Persuader: I agree that you donating $2 would be a good idea
	Persuadee: I'm glad to hear that.  $2 isn't much but it can be used for something beneficial. 
Persuader: that is very true so if we both donated $2 then more children could be helped
	Persuadee: We're on the same page and that's nice.
Persuader: Yes well helping poor defenseless children is an easy thing to do
	Persuadee: Especially when all we have to do is chat about it.
Persuader: that is very true but the chatting about get's more people hearing about the save the children
	Persuadee: I hope everyone doing this HIT donates the most.
Persuader: that would be really good because every little bit helps
	Persuadee: Agreed.  And we're almost done here too.
Persuader: Yep I'm willing to donate $2 if you are
	Persuadee: Me too.  $2 it will be.  Have a good day.",False,2.0
5,"Persuader: Are you aware of Save the children Organization?
	Persuadee: yes i know that is a good charity foundation, they help the children.
Persuader: I saw a children die once
	Persuadee: what? what happened? 
Persuader: He was hungry with no food.I was serving in Afghanistan 
	Persuadee: you were in military? why did not you help him?
Persuader: Yes.I tried to give him my food but it was too late
	Persuadee: he was in the end i think, this is the kind of things i have about our civilization , many dnt have to eat and many waste their food, its not right
Persuader: Exactly.More than thousands children have died of hunger in Syria this year.We must do something about it
	Persuadee: for sure we must do something, but many people are blind, they see just the green of the money, they dont interact with people to see whats their problems are, i really want to help go in africa or some place but i dont know how i can go with a organization.
Persuader: Donate to Save the Children.They are a blessing to humanity
	Persuadee: this i can do, but i was thinking about actual helping.
Persuader: Thats actual help.They really make a difference.I see it with my own eyes
	Persuadee: yeah i know that they are helping Hawaii now , with the hurricane coming soon.
Persuader: Yes they are.How much money do you spend on candies?
	Persuadee: 5$ maybe, plus minus, why?
Persuader: Because you can use some of that money to donate to Save and Children?
	Persuadee: of course i would donate, how much are you willing to donate?
Persuader: I willing to donate 5.And You?
	Persuadee: i can donate 5 if you truly are donating 5. im happy to help",False,5.0
6,"Persuader: Hello, how are you today?
	Persuadee: Hi, I'm doing OK, how are you?
Persuader: I am fine thanks. Are you interested in donating?
	Persuadee: Possibly, I'm not sure. I don't even know what the charity is.
Persuader: The organization which collects money from people, and spend it on people and issues which are needed
	Persuadee: Right, but I would like to know specifically what organization.
Persuader: I myself have a soft heart for children and usually help the charities for children. Have you heard of ""Save the Children""?
	Persuadee: Yes. Are you planning to donate?
Persuader: I am planning to donate. I heard about this organization few weeks ego on MTurk, and i too k the time to read about it. It took my attention and I donated on the last HITs i did
	Persuadee: OK. I only like to donate to reputable organizations, I am familiar with save the children, they often advertise.
Persuader: Yes , they are connected to big companies. They work in 120 countries on different issues. I am careful when I want to donate too
	Persuadee: I'm not sure how this donation process will work, do you know the specifics? I always like to know how the donations are spent.
Persuader: same here, this organization publishes brief financial reports on its website. I've checked on this link:  URL s/about-us/financial-information
	Persuadee: thanks. i wonder what a reasonable donation amount would be.
Persuader: on the website there is a minimum amount but through HIT you can donate anything even 1 cent. I donated before and surprisingly it did not even hurt my reward. I thought it will
	Persuadee: Great. Then I will do it. I usually donate to animal charities.
Persuader: I love animals. MTurk introduced me some good charities. I donated 50 cents each time to ""Save the Children""
	Persuadee: Good to know. Thanks for the info, guess I am skeptical.
Persuader: I would be too, It is not easy to trust these days
	Persuadee: It's good to be able to help someone else out and have it be easy and painless.
Persuader: Thanks for your time and effort. It was a nice chat. Have a nice day
	Persuadee: thanks, same to you.",False,0.5
7,"Persuader: Hello
	Persuadee: Hi
Persuader: So I am supposed to persuade you to donate all thirty of your cents to a charity called Save the Children
	Persuadee: Oh, I believe I've heard of them. What kind of work do they do?
Persuader: They promote childrens rights, provide relief and helps support children in developing countries
	Persuadee: Do you know if they keep track of the effectiveness of their interventions?
Persuader: I believe they do. They also help fund education for children
	Persuadee: That sounds admirable. I usually donate to global health charities (like the Against Malaria Foundation) because it's highly cost effective. Policy intervention is also important, but it's harder to know if it's worthwhile/will be successful...
Persuader: Totally understandable. It is easier to donate to something when there is tangible evidence of its success. I think helping children have access to an education will be beneficial to the entire world in the long run
	Persuadee: By the way, on my side I'm told I can donate anything from $0-$2. So donating $0.30 sounds reasonable.
Persuader: I think that is very reasonable, and every little bit helps. 
	Persuadee: I would be interested to know what different programs their funding goes towards. Do they publish a budget?
Persuader: They actually do, I just looked on their website. It has a lot of information that I didnt expect them to make public
	Persuadee: That's great! It's encouraging when a charity is transparent. I assume it's a 501.3(c)?
Persuader: It looks like it, only 5% of their donations go to management so I believe they operate as a non profit. Which is wonderful
	Persuadee: Do you have a favorite non-profit? :P
Persuader: I should probably say this one but I donate to animal shelters mainly haha
	Persuadee: Oh nice. I'd also like to look into donating more to animal welfare charities. I know there's some philosophical disagreement about this, but I prefer to diversify my charitable 'investments' as it were.
Persuader: That makes sense! So, you felt like donating 30 cents was fair?
	Persuadee: Yep! Good talking with you.",False,0.3
8,"Persuader: Hello.  Would you like to donate a portion of your reward to a charity called Save the Children?
	Persuadee: I think I would be willing to donate a portion.
Persuader: Excellent!  Would you like to know more about the charity first?
	Persuadee: Yes, that was going to be my next question.
Persuader: Save the Children promotes children's rights, and helps children from developing countries.  
	Persuadee: What types of children's rights?
Persuader: Your donation would help ensure children's rights to health, education, and safety.  Many of these children live in developing or war-torn areas where these basic necessities are hard to come by. 
	Persuadee: What type of people or who manages this fund?
Persuader: Save the Children has excellent credentials and is managed by a board of commercial CEOs and business leaders without any government or religious affiliation. 
	Persuadee: Does Save the Children help children in the United States?
Persuader: Yes!  Since 1932, Save the Children has been on the ground providing support to the most isolated and underserved children in rural America.  Many of these children don't have the same opportunities as others and live in very difficult conditions.
	Persuadee: That is awesome. I work hard to help children as well.
Persuader: That's great!  It is a worthwhile cause and every penny has a significant impact on these children's lives.  Even a small donation can have a large impact in impoverished areas.
	Persuadee: I am curious why you chose the words ""rural America""?
Persuader: Of course.  I chose those words because across the United States, one in five children grows up in poverty and, of the counties with the highest poverty rates, 90% are rural. Because of circumstances beyond their control, millions of kids never reach their full potential.
	Persuadee: mmmm that is interesting, I did not know that statistic.  I work with children more in an ""urban"" setting that are incredibly in bad circumstances.
Persuader: I agree that children in both settings need help and commend you for your efforts.  Admittedly, Save the Children may also have urban programs, but I drew the above information from their website, which you can find at  URL   Are you still interested in donating a portion of your reward?
	Persuadee: I am interested. I am curious if I can state if money goes to children in this country though?
Persuader: Yes, you should be able to specify that.  The researchers will use this chat to determine how much of your reward to donate and will see that you have earmarked it for Save the Children's US efforts. 
	Persuadee: That is awesome then I will donate $1.  I feel very strongly about ""our own children"" !!
Persuader: Excellent!  Thank you very much for your generous donation!",False,1.0
9,"Persuader: Children are our future, we need to do our best to ensure them grow up well. The torch of life pass on.
	Persuadee: I agree completely, if we don't take care of our future and our present our society won't have a future. People these days donate to mediocre things, I really think there should be a bigger focus on children's charity's. Personally I have met so many families who have benefited from the Ronald McDonald charity. They are provided everything that the family needs so they are able to stay close to their children. 
Persuader: How to ensure our children grow well and live well?  Our clean water, clean air and world peace, all of us connected someway. Our endless needs and wishes put our children in danger. Life really needs not much.  
	Persuadee: I think focusing on our needs as a whole community vs. just ourselves or our families is a great first step. There are so many families that are well off, and know what meal they are to have next, but they don't contribute to those who don't. This is why I donate each month. To help insure that other families in my community are provided with their basic needs. 
Persuader: Scientists put American way of life, if the whole world lives like American, it needs 7 earths. That is why there are endless fighting, we need to look at what happen to Syrian children, the Middle East.  Its fighting never end, for cheap oil? for weapon testing? 
	Persuadee: The American way of life, isn't perfect by any means. You have so many people that have way too much, and other who's children are starving and go without basic necessities. By being divided and realizing that there are issues all over the world, is what is making matters worse. We are forgetting our children, forgetting their needs, their wants, and their right to live out the life they deserve. They are getting lost in the shuffle of things. 
Persuader: The top 1% own the world and they do not share, they want our children join the army fight for their interests, protect their interest. The capitalism took over the government. Our penny donation really can not change the root of the problem since we do not have to start. We need to take our government back to work for its people, the whole world's people and share! 
	Persuadee: We can't expect the independently wealthy to understand and work for the interests of the poor. So I feel like it is our duty to donate, raise money, and work to help those around us. 
Persuader: https://support. URL ite/SPageNavigator/sponsorship.html#!/  I wish I could help everyone of the kids here.
	Persuadee: I will have to take a look and send in my donation! 
Persuader: Thank you so much! Also we need to realize just one government police change could save millions. 
	Persuadee: What do you think the change is? That is needed from the government police. 
Persuader: Policy, sorry.  Government is so important for people. 
	Persuadee: I don't understand why we can't all just get on the same page? What is the need for war? It's just boys playing army, and the children will be the ones to suffer when they are long gone. 
Persuader: Harvard Med graduate Don Berwick was pediatrician most of his life, only when he worked for Obama for 11 months, he found out all his life was saving children, not worth a policy change.
	Persuadee: I never knew that! 
Persuader: Republic did not confirm him, so he came back to MA. They also want small government, so on one protect they could rob more from the weak around the world. 
	Persuadee: The top 1% can only be the top 1% if everyone else stays poor. 
Persuader: The top 1% is control the world wealth, so they control the governments around the world. The poor countries treat them like god, the rich country lost jobs and everything else.  
	Persuadee: And unfortunatly many of the charities are run by the 1% as well. The redcross is the biggest example of this. 
Persuader: At the mean time, we could only done our best donate and help what we can.  URL ",False,0.0
