idx,transcript,annotated,donated
847,"Persuader: Hello, how's your day going?
	Persuadee: not too bad yours?
Persuader: Good so far, been busy with HITs this morning which is a nice change for the usual weekend lull of HITs
	Persuadee: don't disagree with that.... at least it's cooled off a bit here anyway
Persuader: Yea the weather is looking up today, might have to get out to a park or something fun today.
	Persuadee: sounds like fun :)
Persuader: Hey have you ever heard about an organization called Save the Children?
	Persuadee: no. haven't heard of them..... what do they do?
Persuader: They help kids all over the globe in dire situations by providing relief and aid to them, they're pretty awesome!
	Persuadee: have you ever donated to them?
Persuader: I have a few times, through this HIT actually. At the end the researchers let us donate any amount of our task payment directly to the organization.
	Persuadee: how much have you donated? I mean I can only afford a little otherwise I wouldn't be doing HITS...;)
Persuader: I usually donate just a small amount between like 10 and 30 cents, even just a small amount makes a big difference because there are so many of us each helping a small amount.
	Persuadee: sounds like a good idea, you think $.10 is good enough?
Persuader: It most certainly is - every bit is appreciated! The kids will benefit greatly from this as the researchers have been doing hundreds of HITs so it really does add up when everyone donates a small amount.
	Persuadee: are you going to donate?
Persuader: I'm going to donate $.30 - today has been a good day for HITs so it won't kill me heh. And just think how many other pairs of people are making the same decision! 
	Persuadee: I know I hope the researchers raise a lot of money through this...
Persuader: It'd be cool if they showed us at the end of the study how much has been raised so far, I'd really like that.
	Persuadee: I know it would make all the people who did this HIT feel good unless their not really caring people then well...",False,0.1
848,"Persuader: hello
	Persuadee: hi how are you
Persuader: I'm good, how are you?
	Persuadee: I'm good...what are we to discuss?
Persuader: we are about making a donation to a fund named save the children
	Persuadee: ok are we to decide annamount?
Persuader: yes, indeed. how much would be appropriate for you?
	Persuadee: I'm sorry I meant $20
Persuader: do you know what save the children fund does? 
	Persuadee: I guess they save children
Persuader: yes, they help kids that suffered from violence
	Persuadee: oh that sounds good..how do they help
Persuader: they promote childrens rights, help with medical treatment if necessary
	Persuadee: ok I support that
Persuader: how often do you donate?
	Persuadee: every other month or so, but not to them
Persuader: do you volunteer too?
	Persuadee: not my time anymore no...too busy
Persuader: How much do you like to donate to the charity now? Your donation will be directly deducted from your task payment. You can choose any amount from $0 to all your payment.
	Persuadee: I would choose 0 in this instance
Persuader: why do you don't want to donate?",False,0.0
849,"Persuader: Hello
	Persuadee: Hi
Persuader: How much would you be willing to donate to a children's charity?
	Persuadee: Everything I could, if it was the right charity, I believe in helping needy children but don't like donating to charities that keep more of the proceeds than they donate.
Persuader: The charity I am talking about is ""Save the children."" Your donation helps with children\'s right to health, education. This isn\'t like a guy on your TV next to impoverished children. They really are making a difference.
	Persuadee: That\'s good, I\'ve heard good things about ""Save the Children"". I\'d donate my whole $2 to them.
Persuader: Wow! That's great news! Your proceeds will help children in need all around the world!
	Persuadee: That's is pretty cool. I really feel it's every able persons responsibility to help make sure that less fortunate children have the same resources and available opportunities as the more fortunate ones.
Persuader: I totally agree! Can you state as your last statement how much you are willing to donate so they can make sure they have the correct amount? Have a great day!
	Persuadee: Sure, I am willing to donate the whole $2 to ""Save the Children"".
Persuader:  Great! I'm not sure how we finish this conversation. We were pretty fast.
	Persuadee: Well, talking about children's charities is pretty interesting. We keep talking for a bit and eventually they button pops up. 
Persuader: Yeah sounds great! I was actually adopted from Thailand by Holt. I highly recommend them also.
	Persuadee: Holt? Is that a children's charity? I've never heard of them.
Persuader: Yes they are. There were started during the Korean war and the couple were saving orphans from the war. I donate to Holt every year.
	Persuadee: Wow, it sounds like a charity my husband and I will have to investigate. We like to donate through our church to various charities and they're always looking for something new.
Persuader: They are great since they help orphans and they also get children adopted. They are in most third world countries.
	Persuadee: Interesting, do they solicit donations or is a word of mouth charity? I ask because if they solicit they usually have a web page and a brochure for people to look over.
Persuader: They are based out of Washington state. I usually get mail from them and you can sponsor particular children and get quarterly updates.
	Persuadee: Nice, I\'ll look in to it. Anyway back to the ""Save the Children"" charity I\'ll definitely donate my $2 to them for sure.",False,2.0
850,"Persuader: How would you like to donate to Save the Children, a wonderful charity that helps children with health, education and your donation can make a big difference!
	Persuadee: That sounds interesting but can you tell me more?
Persuader: Often children have a lack of support for children in developing countries, especially in war zones. For instance, millions of Syrian children have grown up facing the daily threat of violence. In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence.
	Persuadee: Where is the charity headquartered?
Persuader: 501 Kings Highway East, Suite 400 Fairfield, CT 06825, if that helps.
	Persuadee: Please forgive me for the questions but I have to ask as I have been scammed by so called charities before.  How many children do you help?
Persuader: I completely understand and it is hard to know in today's world, we have helped 155 million children to this day!
	Persuadee: That sounds like a lot! Wow!  Last year I got victimized by a Nigerian scam helping a so-called Nigerian Prince's legal fund who had been imprisoned and persecuted for being homosexual.
Persuader:  77 cents of your dollar goes to the children will the rest goes to operation costs. So how much would you like to donate?
	Persuadee: How much are you looking for?
Persuader: The average donation is around $2.00 dollars.
	Persuadee: That is a respectable request.  I live on SSI and don't make much. Thank you for letting me know how much of my money actually goes to the children. I was just about to ask that.  How can I donate the $2.00?  Check/Credit Card/Pay Pal?
Persuader: Your donation will be directly deducted from your task payment.
	Persuadee: Oh ok. Is it tax deductible do you know?
Persuader: Yes it is.
	Persuadee: Will I get a picture and/or a letter from the child I am helping?
Persuader: I think that is only for large and monthly donations, however I will even match your donation in whatever you give.
	Persuadee: I would be happy to donate to Save the Children!
Persuader: Wonderful! How much  would you like to donate then?
	Persuadee: I would like to donate the full amount of the task payment.
Persuader: Thank you so much",False,0.0
851,"Persuader: Hi. Would you consider donating to Save the Children?
	Persuadee: I might consider
Persuader: Okay that's a start.  Well Save the Children is a very reputable organization and your donation would be used for a good purpose. 
	Persuadee: do you donate?
Persuader: No, honestly I don't but I would feel like my money would go to a good cause if I were to 
	Persuadee: I appreciate your honesty
Persuader: We could all do better, I suppose. These organizations only ask for a small amount that we may spend on coffee each day or snacks we don't need.
	Persuadee: I hear you. I do believe in donations, but my only worry is that the money doesn't go to where I think it is going. I prefer to volunteer is I can
Persuader: That's a good idea actually, that way you know for sure your efforts are helping.
	Persuadee: But the places I do donate are often revolved around helping children, so this is a great organization
Persuader: It only takes pocket change for us to help out. 
	Persuadee: I agree. you never know who you could be helping
Persuader: Do your family or friends donate to such causes?
	Persuadee: We do. My mom is on the board for a few nonprofits that we attend fundraisers for. That is a great way to raise money
Persuader: Wow.  Well you've seen charity first-hand.
	Persuadee: Yes, I try to help as much as I can, but it's hard when you are broke
Persuader: I definitely understand.  Sometimes it's more a matter of convenience, too.  It doesn't take much to save 30c a week or something.
	Persuadee: that is true, but its hard to justify that 30c is going to make any difference
Persuader: Well,in America, of course that's nothing.  But in developing countries it could be huge.
	Persuadee: that is a very good point",False,0.0
852,"Persuader: How are you doing today?
	Persuadee: Hey, doing good. What about you?
Persuader: I am good too. It's a beautiful day here in Ohio. Are you involved with any charities at all?
	Persuadee: The heat is windinig down a bit for fall. No, I'm not.
Persuader: Have you heard about Save the Children one?
	Persuadee: No, I haven't. Sounds like a children's charity.
Persuader: an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries. I think we can really help this one today. Would you be willing to help?
	Persuadee: I'm not sure. Do you work for them?
Persuader: No, I am not. But once in a while i like to help the needy ones and especially children.
	Persuadee: That's good to hear. There are a lot of charities out there that claim to help children, but most of the money line the pockets of the higher ups.
Persuader: I agree with you. But still think it will be a right thing to do today. Would you be willing to donate half of this task's payment?
	Persuadee: I'll need some time to think about it. Do you have any further information on them?
Persuader: I don't know much, but know it will help children. It will help with their education, safety, rights to good health.
	Persuadee: Ok. I'll look them up later. Good for you reaching out to others to help them.
Persuader: You can choose any amount from $0 to all your payment. Your donation will be directly deducted from your task payment.
	Persuadee: It will be $0 for now. Sorry about that.
Persuader: Are you sure? Do you have any kids, grandkids?
	Persuadee: I have a kid. I'm just not sure why I should donate to this one instead of others.
Persuader: May be a random act of kindness on this beautiful day? 
	Persuadee: You're very persistent. Unfortunately, I'll still have to decline.",False,0.0
853,"Persuader: Hello
	Persuadee: hi there
Persuader: how are you today
	Persuadee: I'm doing ok, a little tired. How are you/
Persuader: Exhausted. Turking after work is no fun but I need the money lol
	Persuadee: I hear that!
Persuader: will you donate any bonus to the charity ""save the children"" today?
	Persuadee: No, thanks. I think I'm going to keep the bonus.
Persuader: No worries, I'd do the same
	Persuadee: Yeah, I was curious how this was going to go. I always feel a little guilty saying no.
Persuader: Me too, but I just try to think how much my family needs the money and I feel a little better
	Persuadee: Yeah, exactly. ""Save the children"" is pretty vague, too, haha.
Persuader: Yep, they gave me all kinds of tactics to use on you that I didn't want to like asking how much you spend on things like candy LOL
	Persuadee: Haha! That's interesting. What other tactics did they suggest?
Persuader: They said to tell you that you are part of the solution and that you have a moral responsibility to help
	Persuadee: Well, true, but I also have a moral responsibility to my family. I feel worse when cashiers ask me. It seems to happen so frequently now.
Persuader: I actually work in a grocery store. They only ask you for donations as a tax write-off. I mean, the money does go to charity but there is something in it for everyone
	Persuadee: Hah, that's good to know. There's even a South Park episode about this...(of course there is)
Persuader: Man I love South Park, excited for it to come back next month
	Persuadee: I wasn't into it originally, but my husband wore me down. Now I like it.
Persuader: Good talking with you, have a nice night
	Persuadee: Nice talking with you too!",False,0.0
854,"Persuader: hello; how are you today?
	Persuadee: hello, I am well. How are you
Persuader: im good, thank you.  i have a charitable organisation i would like to speak with you about that is doing good work.  
	Persuadee: Ok what type of organization?
Persuader: the organisation is Save the Children ( URL .  have you heard of them?
	Persuadee: A bit, could you tell me a little more about it?
Persuader: sure; they have US and Global programs and are centered around assisting kids.
	Persuadee: ok; where would my donation go?
Persuader: The research team will collect all donations and send it to Save the Children.
	Persuadee: Ok, how much are you asking for?
Persuader: it would be a portion of the task payment.  you can choose any amount from $0 to all ($2).
	Persuadee: How much do most people donate
Persuader: this information i'm not privy to for privacy reasons, but for example, 77 cents a day can shelter a refugee family.  any amount makes an impact.
	Persuadee: I would be interested in donating
Persuader: that's great!  have you contributed to any like organisations in the past?
	Persuadee: I've contributed to similar organizations through my synagogue 
Persuader: that's very good to hear.  the sum of parts are greater then the whole and it really pools everyone together to make a big impact to those in need.
	Persuadee: I'd like to donate half of my payment
Persuader: thank you kindly.  that is most appreciated.
	Persuadee: So $1 please ",False,1.0
855,"Persuader: Hi
	Persuadee: How's it going?
Persuader: Pretty good 
	Persuadee: So we're supposed to talk about a childrens charity? I'd give all your money to the children.
Persuader: How about we both decide to donate to the charity
	Persuadee: No. Just you.
Persuader: If we both donate then we both get a bonus and help the charity
	Persuadee: Hmm... I'll donate $1 if you donate $1000.
Persuader: Ok.. that's a deal
	Persuadee: Beautiful. We're both wonderful caring people.
Persuader: Yes we are
	Persuadee: How do you think we should solve the hunger issues in the world?
Persuader: Have a good day
	Persuadee: But we must finish!
Persuader: More people should go on a vegetarian diet
	Persuadee: I think we should feed one half of the hungry people to the other half.
Persuader: That's a silly idea
	Persuadee: Yeah, just joshing. 
Persuader: So when is this talk ovah
	Persuadee: NOW THE TALK IS OVER!",False,0.0
856,"Persuader: Hi friend.  Have you ever heard of Save the Children?  They're a great charity I support.  I'm earning extra money on Amazon Turk to help support them.
	Persuadee: Yes, I believe they sponsor children in need.  I do the same for World Vision.  I sponsor 3 children.
Persuader: That's amazing.  When you see all the crazy things happening in the world today, famine, genocide, etc. it seems so important to help.  We are so lucky to live in a country where almost everyone has at least the minimum needed for survival.  So many poor kids around the world don't have food, clothing, shelter. I'm so glad these amazing charities help those kids.   
	Persuadee: I appreciate the letters that I receive to see the impact that our donations make.  Although it is not much money for us its makes a huge difference to the children from what I have seen.  How long have you been donating?
Persuader: For years.  I started back in college, when an extra few dollars a month was a lot to give, and now that I've moved on in my career and life I'm thankful I'm able to give more. Plus, Save the Children is really high rated on Charity Watch.  You know some charities spend 75 percent of donations back into gathering more money and administration etc.  Save the Children is able to give away nearly everything they gather.  I just read they are going to be helping victims of the Hurricane in Hawaii.  
	Persuadee: That is good.  I've heard good things about Save the Children.  I think my brother sponsors a kid with them.  I believe World Vision is rated highly as well.  I'm glad that I can help others in need since I've been blessed a bit to help others.
Persuader: Absolutely. We are blessed to be a blessing, that's what I believe.  You know what, you've encouraged me.  I think I'm going to donate the money I earn today to Save the Children.  You want to join me?  It won't be much but every penny counts.  We can't do much with 30 cents, but in another country that could make a big impact.  
	Persuadee: Sure.  I would love to help.  I would love to make a donation today.
Persuader: That's amazing.  Should we give our whole 30 cents?  It's not like either of us can do much with that either.
	Persuadee: Probably more.  Do you donate by the catalog or general donation?
Persuader: I read that the people sponsoring this research study are collecting money, and at the end we have the option of just telling them to keep our payment and give it to Save the Children instead of paying out to us.  Hassle free.  
	Persuadee: Ok, sounds good.  I'll donate the whole amount.
Persuader: I'm so glad I got partnered with you.  With all the negativity in the news, I'm glad to see there are still great people out there.
	Persuadee: Great.  I've been looking at the Save the Children website so I will likely buy off the catalog, like Emergency Food.  Thanks for sharing.
Persuader: Yeap, I think I need to look at the website again and see the new ways to donate.  So we'll both donate the money we earn here, then we can donate extra off the website.  I'm going to blog about you later today.  It will encourage our friends.  
	Persuadee: Very good.  I glad we can help.  Every bit helps. 
Persuader: Nice to meet you fellow Turker. You've encouraged my heart today.
	Persuadee: Ditto to you. Have a great day. God bless!
Persuader: Goodbye.  Have a wonderful day.
	Persuadee: You.  Enjoy the rest of the day.",False,0.3
